user,title,atractivo,creatividad,gramaticalidad,informacion,relacion,sentido,writer,experiment,average_score,rank
1d0gmfl,Up With The Lark,0.0,0.0,3.0,2.0,1.0,4.0,human,explicita,1.6666666666666667,7
1d0gmfl,Black Heat,2.0,1.0,2.0,3.0,1.0,0.0,human,explicita,1.5,8
1d0gmfl,Bowery Battalion,1.0,2.0,2.0,1.0,2.0,1.0,bot,explicita,1.5,8
1d0gmfl,Family Life,1.0,1.0,2.0,2.0,3.0,0.0,human,explicita,1.5,8
1d0gmfl,Light Blast,3.0,1.0,2.0,1.0,0.0,2.0,bot,explicita,1.5,8
1d0gmfl,Love Laughs At Andy Hardy,1.0,2.0,1.0,1.0,2.0,2.0,bot,explicita,1.5,8
1d0gmfl,The Beast In The Cellar,3.0,0.0,2.0,2.0,2.0,0.0,human,explicita,1.5,8
1d0gmfl,Chasing Rainbows,2.0,2.0,2.0,2.0,0.0,0.0,human,explicita,1.3333333333333333,9
1d0gmfl,The Convent,2.0,3.0,2.0,0.0,0.0,1.0,bot,explicita,1.3333333333333333,9
1d0gmfl,Smiling Irish Eyes,0.0,2.0,1.0,3.0,0.0,1.0,human,explicita,1.1666666666666667,10
1d0gmfl,Winter Journey,1.0,1.0,2.0,1.0,2.0,0.0,bot,explicita,1.1666666666666667,10
1d0gmfl,Beware Of Pickpockets,2.0,2.0,1.0,0.0,0.0,1.0,human,explicita,1.0,11
1twytku,The Balloon Goes Up,4.0,4.0,4.0,4.0,4.0,4.0,bot,normal,4.0,1
1twytku,The Diamond,4.0,4.0,4.0,4.0,4.0,4.0,bot,normal,4.0,1
1twytku,The Fox Of Glenarvon,4.0,4.0,4.0,4.0,4.0,4.0,bot,normal,4.0,1
1twytku,The Last Married Couple In America,4.0,4.0,4.0,4.0,4.0,4.0,human,normal,4.0,1
1twytku,Everything But The Truth,4.0,4.0,4.0,4.0,4.0,2.0,human,normal,3.6666666666666665,2
1twytku,The Call Of The North,4.0,2.0,4.0,4.0,4.0,4.0,bot,normal,3.6666666666666665,2
1twytku,Hunting Season,4.0,4.0,3.0,4.0,4.0,2.0,bot,normal,3.5,3
1twytku,Out Of Singapore,4.0,4.0,3.0,4.0,2.0,4.0,bot,normal,3.5,3
1twytku,The Beast In The Cellar,4.0,1.0,4.0,4.0,4.0,4.0,bot,normal,3.5,3
1twytku,The Other Side,3.0,2.0,4.0,4.0,4.0,4.0,human,normal,3.5,3
1twytku,Just Another Romantic Wrestling Comedy,4.0,4.0,2.0,4.0,4.0,2.0,human,normal,3.3333333333333335,4
1twytku,The Convent,3.0,3.0,4.0,4.0,2.0,4.0,human,normal,3.3333333333333335,4
1twytku,The Sea Gypsies,4.0,2.0,4.0,4.0,2.0,4.0,human,normal,3.3333333333333335,4
1twytku,The Turners Of Prospect Road,4.0,4.0,4.0,2.0,2.0,4.0,bot,normal,3.3333333333333335,4
1twytku,Winter Journey,2.0,4.0,4.0,4.0,2.0,4.0,human,normal,3.3333333333333335,4
1twytku,Beware Of Pickpockets,0.0,3.0,4.0,4.0,4.0,4.0,bot,normal,3.1666666666666665,5
1twytku,Another Chance,1.0,1.0,4.0,4.0,4.0,4.0,human,normal,3.0,6
1twytku,Black Heat,3.0,3.0,4.0,4.0,0.0,4.0,bot,normal,3.0,6
1twytku,Cool School,2.0,0.0,4.0,4.0,4.0,4.0,bot,normal,3.0,6
1twytku,Josephine And Men,0.0,2.0,4.0,4.0,4.0,4.0,bot,normal,3.0,6
1twytku,The Guinea Pig,4.0,4.0,4.0,1.0,4.0,0.0,bot,normal,2.8333333333333335,7
1twytku,The Man In Black,3.0,4.0,4.0,3.0,0.0,3.0,human,normal,2.8333333333333335,7
1twytku,Life Love Death,0.0,0.0,4.0,4.0,4.0,4.0,bot,normal,2.6666666666666665,8
1twytku,Smiling Irish Eyes,2.0,2.0,4.0,2.0,2.0,4.0,bot,normal,2.6666666666666665,8
1twytku,Sound Off,1.0,4.0,4.0,3.0,0.0,4.0,human,normal,2.6666666666666665,8
1twytku,The Escort,3.0,3.0,4.0,2.0,0.0,4.0,human,normal,2.6666666666666665,8
1twytku,The Moth Of Moonbi,2.0,1.0,4.0,2.0,3.0,4.0,bot,normal,2.6666666666666665,8
1twytku,Family Life,0.0,0.0,3.0,3.0,4.0,4.0,bot,normal,2.3333333333333335,9
1twytku,The Roommates,1.0,2.0,2.0,3.0,2.0,4.0,human,normal,2.3333333333333335,9
1twytku,Daylight Fades,0.0,2.0,3.0,4.0,1.0,3.0,human,normal,2.1666666666666665,10
1twytku,Ma And Pa Kettle On Vacation,1.0,1.0,2.0,4.0,4.0,1.0,human,normal,2.1666666666666665,10
1twytku,Part Time Wife,0.0,0.0,4.0,4.0,1.0,4.0,bot,normal,2.1666666666666665,10
1twytku,The Art Of Self Defense,1.0,0.0,2.0,2.0,4.0,4.0,bot,normal,2.1666666666666665,10
1twytku,Dancing In The Dark,1.0,0.0,4.0,4.0,1.0,2.0,bot,normal,2.0,11
1twytku,Queen Of The Jungle,0.0,0.0,4.0,4.0,0.0,4.0,bot,normal,2.0,11
1twytku,Adventures Of Johnny Tao,0.0,0.0,2.0,3.0,4.0,2.0,human,normal,1.8333333333333333,12
1twytku,Daughter Of The Jungle,0.0,0.0,4.0,3.0,0.0,4.0,bot,normal,1.8333333333333333,12
1twytku,Gone Are The Dayes,2.0,1.0,2.0,3.0,2.0,1.0,bot,normal,1.8333333333333333,12
1twytku,Operation Snatch,0.0,2.0,4.0,2.0,1.0,1.0,human,normal,1.6666666666666667,13
1twytku,Up With The Lark,0.0,2.0,2.0,2.0,2.0,2.0,bot,normal,1.6666666666666667,13
1twytku,Abby Sen,0.0,0.0,1.0,3.0,4.0,1.0,bot,normal,1.5,14
1twytku,My Family And Other Animals,0.0,0.0,4.0,2.0,1.0,2.0,human,normal,1.5,14
1twytku,Gone With The West,1.0,0.0,3.0,2.0,1.0,1.0,human,normal,1.3333333333333333,15
1twytku,Woodpecker In The Rough,0.0,0.0,4.0,1.0,1.0,2.0,bot,normal,1.3333333333333333,15
1twytku,Light Blast,1.0,3.0,1.0,1.0,0.0,1.0,human,normal,1.1666666666666667,16
1twytku,Reach The Rock,0.0,0.0,0.0,4.0,1.0,2.0,bot,normal,1.1666666666666667,16
1twytku,Young People,0.0,1.0,3.0,2.0,0.0,1.0,human,normal,1.1666666666666667,16
1twytku,The Children Of Sanchez,0.0,0.0,2.0,2.0,0.0,2.0,human,normal,1.0,17
1twytku,The Suckling,0.0,0.0,2.0,3.0,0.0,1.0,human,normal,1.0,17
1twytku,Bowery Battalion,0.0,0.0,2.0,2.0,1.0,0.0,human,normal,0.8333333333333334,18
1twytku,Francis In The Navy,0.0,1.0,1.0,2.0,0.0,1.0,human,normal,0.8333333333333334,18
1twytku,Temptation Island,0.0,0.0,1.0,2.0,0.0,1.0,human,normal,0.6666666666666666,19
1twytku,Grandmother's House,0.0,0.0,0.0,2.0,1.0,0.0,human,normal,0.5,20
1twytku,Love Laughs At Andy Hardy,0.0,0.0,2.0,1.0,0.0,0.0,human,normal,0.5,20
1twytku,Thar She Blows!,0.0,1.0,0.0,1.0,0.0,1.0,human,normal,0.5,20
1twytku,The Miniver Story,0.0,0.0,0.0,1.0,2.0,0.0,bot,normal,0.5,20
1twytku,Born Again,0.0,0.0,1.0,0.0,1.0,0.0,bot,normal,0.3333333333333333,21
1twytku,Chasing Rainbows,0.0,0.0,1.0,1.0,0.0,0.0,bot,normal,0.3333333333333333,21
1twytku,English: An Autumn In London,0.0,0.0,1.0,0.0,1.0,0.0,human,normal,0.3333333333333333,21
1twytku,Charley's (big-hearted) Aunt,0.0,0.0,0.0,0.0,1.0,0.0,human,normal,0.16666666666666666,22
2cf5cxg,Everything But The Truth,3.0,4.0,4.0,4.0,4.0,4.0,human,normal,3.8333333333333335,1
2cf5cxg,Daylight Fades,4.0,3.0,4.0,4.0,3.0,4.0,human,normal,3.6666666666666665,2
2cf5cxg,Gone Are The Dayes,4.0,4.0,4.0,3.0,3.0,4.0,bot,normal,3.6666666666666665,2
2cf5cxg,Smiling Irish Eyes,4.0,2.0,4.0,4.0,4.0,4.0,bot,normal,3.6666666666666665,2
2cf5cxg,Out Of Singapore,4.0,2.0,3.0,4.0,4.0,4.0,bot,normal,3.5,3
2cf5cxg,Part Time Wife,4.0,1.0,4.0,4.0,4.0,4.0,bot,normal,3.5,3
2cf5cxg,The Balloon Goes Up,3.0,4.0,3.0,3.0,4.0,4.0,bot,normal,3.5,3
2cf5cxg,The Convent,4.0,4.0,4.0,2.0,4.0,3.0,human,normal,3.5,3
2cf5cxg,The Last Married Couple In America,3.0,2.0,4.0,4.0,4.0,4.0,human,normal,3.5,3
2cf5cxg,The Turners Of Prospect Road,3.0,4.0,4.0,3.0,3.0,4.0,bot,normal,3.5,3
2cf5cxg,The Call Of The North,3.0,3.0,2.0,4.0,4.0,4.0,bot,normal,3.3333333333333335,4
2cf5cxg,Bowery Battalion,3.0,4.0,3.0,4.0,2.0,3.0,human,normal,3.1666666666666665,5
2cf5cxg,Ma And Pa Kettle On Vacation,1.0,3.0,4.0,4.0,4.0,3.0,human,normal,3.1666666666666665,5
2cf5cxg,Operation Snatch,1.0,4.0,3.0,4.0,4.0,3.0,human,normal,3.1666666666666665,5
2cf5cxg,Sound Off,3.0,4.0,4.0,4.0,1.0,3.0,human,normal,3.1666666666666665,5
2cf5cxg,Temptation Island,2.0,4.0,4.0,3.0,3.0,3.0,human,normal,3.1666666666666665,5
2cf5cxg,Abby Sen,3.0,4.0,3.0,3.0,4.0,1.0,bot,normal,3.0,6
2cf5cxg,Another Chance,4.0,2.0,1.0,4.0,4.0,3.0,human,normal,3.0,6
2cf5cxg,Born Again,3.0,3.0,4.0,3.0,1.0,4.0,bot,normal,3.0,6
2cf5cxg,The Art Of Self Defense,0.0,2.0,4.0,4.0,4.0,4.0,bot,normal,3.0,6
2cf5cxg,The Escort,0.0,4.0,4.0,4.0,2.0,4.0,human,normal,3.0,6
2cf5cxg,Life Love Death,2.0,0.0,4.0,3.0,4.0,4.0,bot,normal,2.8333333333333335,7
2cf5cxg,The Diamond,3.0,1.0,2.0,3.0,4.0,4.0,bot,normal,2.8333333333333335,7
2cf5cxg,The Miniver Story,2.0,4.0,3.0,4.0,4.0,0.0,bot,normal,2.8333333333333335,7
2cf5cxg,The Roommates,0.0,2.0,3.0,4.0,4.0,4.0,human,normal,2.8333333333333335,7
2cf5cxg,Winter Journey,2.0,4.0,4.0,3.0,0.0,4.0,human,normal,2.8333333333333335,7
2cf5cxg,Woodpecker In The Rough,1.0,2.0,4.0,3.0,3.0,4.0,bot,normal,2.8333333333333335,7
2cf5cxg,Cool School,2.0,2.0,3.0,3.0,2.0,4.0,bot,normal,2.6666666666666665,8
2cf5cxg,Francis In The Navy,0.0,3.0,3.0,4.0,2.0,4.0,human,normal,2.6666666666666665,8
2cf5cxg,Gone With The West,2.0,3.0,3.0,4.0,2.0,2.0,human,normal,2.6666666666666665,8
2cf5cxg,Grandmother's House,0.0,2.0,4.0,2.0,4.0,4.0,human,normal,2.6666666666666665,8
2cf5cxg,Hunting Season,1.0,2.0,4.0,1.0,4.0,4.0,bot,normal,2.6666666666666665,8
2cf5cxg,Josephine And Men,1.0,3.0,4.0,4.0,3.0,1.0,bot,normal,2.6666666666666665,8
2cf5cxg,Light Blast,2.0,4.0,3.0,2.0,3.0,2.0,human,normal,2.6666666666666665,8
2cf5cxg,The Beast In The Cellar,0.0,0.0,4.0,4.0,4.0,4.0,bot,normal,2.6666666666666665,8
2cf5cxg,Up With The Lark,3.0,4.0,3.0,1.0,2.0,3.0,bot,normal,2.6666666666666665,8
2cf5cxg,Beware Of Pickpockets,3.0,2.0,3.0,3.0,2.0,2.0,bot,normal,2.5,9
2cf5cxg,Dancing In The Dark,1.0,3.0,4.0,3.0,1.0,3.0,bot,normal,2.5,9
2cf5cxg,Thar She Blows!,0.0,3.0,4.0,1.0,3.0,4.0,human,normal,2.5,9
2cf5cxg,The Guinea Pig,0.0,4.0,4.0,2.0,4.0,1.0,bot,normal,2.5,9
2cf5cxg,Adventures Of Johnny Tao,0.0,4.0,3.0,3.0,3.0,1.0,human,normal,2.3333333333333335,10
2cf5cxg,Family Life,0.0,0.0,3.0,3.0,4.0,4.0,bot,normal,2.3333333333333335,10
2cf5cxg,The Fox Of Glenarvon,2.0,1.0,4.0,3.0,0.0,4.0,bot,normal,2.3333333333333335,10
2cf5cxg,The Man In Black,1.0,2.0,4.0,3.0,0.0,4.0,human,normal,2.3333333333333335,10
2cf5cxg,Black Heat,4.0,0.0,4.0,3.0,0.0,2.0,bot,normal,2.1666666666666665,11
2cf5cxg,Reach The Rock,0.0,0.0,4.0,4.0,1.0,4.0,bot,normal,2.1666666666666665,11
2cf5cxg,The Children Of Sanchez,2.0,3.0,2.0,1.0,3.0,2.0,human,normal,2.1666666666666665,11
2cf5cxg,The Sea Gypsies,0.0,2.0,3.0,4.0,1.0,3.0,human,normal,2.1666666666666665,11
2cf5cxg,Just Another Romantic Wrestling Comedy,4.0,0.0,2.0,4.0,0.0,2.0,human,normal,2.0,12
2cf5cxg,Queen Of The Jungle,1.0,0.0,4.0,2.0,1.0,4.0,bot,normal,2.0,12
2cf5cxg,The Other Side,2.0,4.0,3.0,0.0,0.0,3.0,human,normal,2.0,12
2cf5cxg,Chasing Rainbows,1.0,3.0,4.0,2.0,0.0,1.0,bot,normal,1.8333333333333333,13
2cf5cxg,The Moth Of Moonbi,1.0,3.0,3.0,2.0,1.0,1.0,bot,normal,1.8333333333333333,13
2cf5cxg,Young People,0.0,3.0,2.0,3.0,0.0,3.0,human,normal,1.8333333333333333,13
2cf5cxg,Love Laughs At Andy Hardy,0.0,2.0,2.0,3.0,2.0,1.0,human,normal,1.6666666666666667,14
2cf5cxg,Daughter Of The Jungle,4.0,2.0,3.0,0.0,0.0,0.0,bot,normal,1.5,15
2cf5cxg,My Family And Other Animals,0.0,3.0,1.0,1.0,0.0,4.0,human,normal,1.5,15
2cf5cxg,Charley's (big-hearted) Aunt,1.0,3.0,0.0,2.0,1.0,0.0,human,normal,1.1666666666666667,16
2cf5cxg,English: An Autumn In London,2.0,1.0,2.0,0.0,0.0,2.0,human,normal,1.1666666666666667,16
2cf5cxg,The Suckling,0.0,0.0,4.0,0.0,0.0,0.0,human,normal,0.6666666666666666,17
2djomaf,The Children Of Sanchez,4.0,3.0,4.0,4.0,3.0,4.0,human,normal,3.6666666666666665,1
2djomaf,Another Chance,3.0,1.0,4.0,4.0,4.0,4.0,human,normal,3.3333333333333335,2
2djomaf,Beware Of Pickpockets,2.0,2.0,4.0,4.0,4.0,4.0,bot,normal,3.3333333333333335,2
2djomaf,Gone Are The Dayes,3.0,2.0,4.0,3.0,4.0,4.0,bot,normal,3.3333333333333335,2
2djomaf,Smiling Irish Eyes,2.0,2.0,4.0,3.0,4.0,4.0,bot,normal,3.1666666666666665,3
2djomaf,The Diamond,2.0,2.0,4.0,3.0,4.0,4.0,bot,normal,3.1666666666666665,3
2djomaf,Grandmother's House,2.0,1.0,4.0,3.0,4.0,4.0,human,normal,3.0,4
2djomaf,Ma And Pa Kettle On Vacation,2.0,2.0,4.0,3.0,4.0,3.0,human,normal,3.0,4
2djomaf,Part Time Wife,2.0,1.0,4.0,3.0,4.0,4.0,bot,normal,3.0,4
2djomaf,The Last Married Couple In America,3.0,1.0,4.0,3.0,3.0,4.0,human,normal,3.0,4
2djomaf,The Roommates,3.0,0.0,4.0,3.0,4.0,4.0,human,normal,3.0,4
2djomaf,Woodpecker In The Rough,2.0,1.0,4.0,3.0,4.0,4.0,bot,normal,3.0,4
2djomaf,Adventures Of Johnny Tao,1.0,2.0,4.0,3.0,4.0,3.0,human,normal,2.8333333333333335,5
2djomaf,Love Laughs At Andy Hardy,2.0,1.0,4.0,4.0,3.0,3.0,human,normal,2.8333333333333335,5
2djomaf,Up With The Lark,1.0,2.0,4.0,2.0,4.0,4.0,bot,normal,2.8333333333333335,5
2djomaf,Francis In The Navy,2.0,1.0,4.0,3.0,4.0,2.0,human,normal,2.6666666666666665,6
2djomaf,The Call Of The North,2.0,0.0,4.0,3.0,3.0,4.0,bot,normal,2.6666666666666665,6
2djomaf,The Fox Of Glenarvon,3.0,0.0,4.0,2.0,3.0,4.0,bot,normal,2.6666666666666665,6
2djomaf,The Other Side,3.0,0.0,4.0,2.0,3.0,4.0,human,normal,2.6666666666666665,6
2djomaf,The Suckling,1.0,1.0,4.0,2.0,4.0,4.0,human,normal,2.6666666666666665,6
2djomaf,Cool School,1.0,0.0,4.0,2.0,4.0,4.0,bot,normal,2.5,7
2djomaf,Josephine And Men,2.0,0.0,4.0,2.0,3.0,4.0,bot,normal,2.5,7
2djomaf,The Guinea Pig,1.0,1.0,4.0,1.0,4.0,4.0,bot,normal,2.5,7
2djomaf,The Man In Black,2.0,2.0,4.0,2.0,1.0,4.0,human,normal,2.5,7
2djomaf,The Moth Of Moonbi,0.0,0.0,4.0,3.0,4.0,4.0,bot,normal,2.5,7
2djomaf,Abby Sen,1.0,0.0,4.0,3.0,4.0,2.0,bot,normal,2.3333333333333335,8
2djomaf,Black Heat,2.0,1.0,4.0,2.0,1.0,4.0,bot,normal,2.3333333333333335,8
2djomaf,Daylight Fades,1.0,1.0,3.0,4.0,2.0,3.0,human,normal,2.3333333333333335,8
2djomaf,English: An Autumn In London,2.0,2.0,3.0,2.0,3.0,2.0,human,normal,2.3333333333333335,8
2djomaf,Everything But The Truth,1.0,1.0,4.0,1.0,3.0,4.0,human,normal,2.3333333333333335,8
2djomaf,Hunting Season,2.0,0.0,3.0,3.0,4.0,2.0,bot,normal,2.3333333333333335,8
2djomaf,Out Of Singapore,1.0,0.0,4.0,3.0,2.0,4.0,bot,normal,2.3333333333333335,8
2djomaf,Temptation Island,1.0,0.0,4.0,2.0,3.0,4.0,human,normal,2.3333333333333335,8
2djomaf,The Art Of Self Defense,1.0,0.0,4.0,2.0,3.0,4.0,bot,normal,2.3333333333333335,8
2djomaf,The Miniver Story,1.0,0.0,3.0,3.0,4.0,3.0,bot,normal,2.3333333333333335,8
2djomaf,My Family And Other Animals,1.0,0.0,4.0,1.0,3.0,4.0,human,normal,2.1666666666666665,9
2djomaf,Queen Of The Jungle,2.0,1.0,4.0,2.0,0.0,4.0,bot,normal,2.1666666666666665,9
2djomaf,Sound Off,1.0,1.0,4.0,2.0,1.0,4.0,human,normal,2.1666666666666665,9
2djomaf,The Balloon Goes Up,0.0,0.0,4.0,1.0,4.0,4.0,bot,normal,2.1666666666666665,9
2djomaf,Winter Journey,1.0,2.0,4.0,2.0,0.0,4.0,human,normal,2.1666666666666665,9
2djomaf,Born Again,1.0,0.0,4.0,2.0,1.0,4.0,bot,normal,2.0,10
2djomaf,Daughter Of The Jungle,1.0,0.0,4.0,2.0,1.0,4.0,bot,normal,2.0,10
2djomaf,Life Love Death,2.0,0.0,4.0,1.0,1.0,4.0,bot,normal,2.0,10
2djomaf,The Beast In The Cellar,2.0,0.0,4.0,1.0,1.0,4.0,bot,normal,2.0,10
2djomaf,The Convent,0.0,1.0,4.0,1.0,4.0,2.0,human,normal,2.0,10
2djomaf,Dancing In The Dark,1.0,0.0,4.0,3.0,0.0,3.0,bot,normal,1.8333333333333333,11
2djomaf,Family Life,0.0,0.0,3.0,2.0,4.0,2.0,bot,normal,1.8333333333333333,11
2djomaf,Gone With The West,2.0,1.0,3.0,2.0,0.0,3.0,human,normal,1.8333333333333333,11
2djomaf,Just Another Romantic Wrestling Comedy,2.0,0.0,2.0,1.0,4.0,2.0,human,normal,1.8333333333333333,11
2djomaf,The Turners Of Prospect Road,0.0,0.0,4.0,1.0,2.0,4.0,bot,normal,1.8333333333333333,11
2djomaf,Operation Snatch,2.0,2.0,2.0,2.0,1.0,1.0,human,normal,1.6666666666666667,12
2djomaf,Reach The Rock,1.0,0.0,3.0,2.0,1.0,3.0,bot,normal,1.6666666666666667,12
2djomaf,The Sea Gypsies,0.0,2.0,4.0,1.0,1.0,2.0,human,normal,1.6666666666666667,12
2djomaf,Bowery Battalion,1.0,1.0,3.0,2.0,1.0,1.0,human,normal,1.5,13
