user_id,model_name,dataset,train_samples,test_samples,accuracy_train,precision_train,recall_train,f1_train,accuracy_test,precision_test,recall_test,f1_test,best_params,coherence_analysis.best_num_topics,coherence_analysis.best_num_topics_mean,coherence_analysis.best_num_topics_std,coherence_analysis.entity_coherence,coherence_analysis.entity_coherence_mean,coherence_analysis.entity_coherence_std,coherence_analysis.local_coherence_embeddings,coherence_analysis.local_coherence_embeddings_mean,coherence_analysis.local_coherence_embeddings_std,coherence_analysis.overall_coherence,coherence_analysis.overall_coherence_mean,coherence_analysis.overall_coherence_std,originality_analysis.log_likelihood,originality_analysis.log_likelihood_mean,originality_analysis.log_likelihood_std,originality_analysis.semantic_distance,originality_analysis.semantic_distance_mean,originality_analysis.semantic_distance_std,readability_metrics.smog_index,readability_metrics.smog_index_mean,readability_metrics.smog_index_std,sentiment_analysis.average_sentiment,sentiment_analysis.average_sentiment_mean,sentiment_analysis.average_sentiment_std,sentiment_analysis.emotional_persistence,sentiment_analysis.emotional_persistence_mean,sentiment_analysis.emotional_persistence_std,sentiment_analysis.emotional_richness,sentiment_analysis.emotional_richness_mean,sentiment_analysis.emotional_richness_std,sentiment_analysis.emotional_volatility,sentiment_analysis.emotional_volatility_mean,sentiment_analysis.emotional_volatility_std,sentiment_analysis.sentiment_distribution_negative,sentiment_analysis.sentiment_distribution_negative_mean,sentiment_analysis.sentiment_distribution_negative_std,sentiment_analysis.sentiment_distribution_positive,sentiment_analysis.sentiment_distribution_positive_mean,sentiment_analysis.sentiment_distribution_positive_std,sentiment_analysis.sentiment_volatility,sentiment_analysis.sentiment_volatility_mean,sentiment_analysis.sentiment_volatility_std,sentiment_analysis.variance_sentiment,sentiment_analysis.variance_sentiment_mean,sentiment_analysis.variance_sentiment_std,stylistic_analysis.linguistic_metrics.average_sentence_length,stylistic_analysis.linguistic_metrics.average_sentence_length_mean,stylistic_analysis.linguistic_metrics.average_sentence_length_std,stylistic_analysis.linguistic_metrics.average_tree_depth,stylistic_analysis.linguistic_metrics.average_tree_depth_mean,stylistic_analysis.linguistic_metrics.average_tree_depth_std,stylistic_analysis.linguistic_metrics.dependency_variety,stylistic_analysis.linguistic_metrics.dependency_variety_mean,stylistic_analysis.linguistic_metrics.dependency_variety_std,stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD_mean,stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD_std,stylistic_analysis.linguistic_metrics.max_subordination_depth,stylistic_analysis.linguistic_metrics.max_subordination_depth_mean,stylistic_analysis.linguistic_metrics.max_subordination_depth_std,stylistic_analysis.rhetorical_devices.total_count,stylistic_analysis.rhetorical_devices.total_count_mean,stylistic_analysis.rhetorical_devices.total_count_std,stylistic_analysis.rhetorical_devices.variety,stylistic_analysis.rhetorical_devices.variety_mean,stylistic_analysis.rhetorical_devices.variety_std,stylistic_analysis.sentence_rhythm.std_dev_sentence_length,stylistic_analysis.sentence_rhythm.std_dev_sentence_length_mean,stylistic_analysis.sentence_rhythm.std_dev_sentence_length_std,thematic_analysis.entropy_score,thematic_analysis.entropy_score_mean,thematic_analysis.entropy_score_std,thematic_analysis.graph_density,thematic_analysis.graph_density_mean,thematic_analysis.graph_density_std,thematic_analysis.inter_theme_similarity,ratio_ai,ai_preferred,thematic_analysis.inter_theme_similarity_mean,thematic_analysis.inter_theme_similarity_std,top_10_features,stability_percentage,avg_SNR,reader_expertise,expert
A03922113RU44GENR8ATX,lr_sklearn,hanna,526,102,0.946768060836502,0.946768060836502,0.946768060836502,0.946768060836502,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,{},-0.7420362033490978,-0.7512508285350838,0.2003320121985767,1.269576672942666,1.2626024508101847,0.1946439599656871,1.8696297710889616,1.8526003022071784,0.2533643385766518,-0.7018526677968544,-0.7135557438008003,0.2702108360292714,-0.1461611601738413,-0.1556502907034483,0.20310004177748,1.7894178997787085,1.708861331746379,0.2004329408906894,-1.4148035893418205,-1.3282735140737358,0.1800434419739512,0.3339265639677675,0.2985221355794548,0.0850893084847591,0.6285582918724684,0.6287880318964448,0.1056682227362373,1.5203322709891844,1.5834767809658634,0.2086588821910123,-0.6285582918724707,-0.6287880318964482,0.1056682227362372,0.9353575396457542,0.925286969619792,0.0651177392375094,-0.935357539645754,-0.9252869696197912,0.0651177392375093,-2.0393815502897645,-2.0928950580842742,0.205503159033818,1.734662906811001,1.705881749999036,0.2629460880294252,0.1810834609274193,0.2048721159646236,0.2465906903050547,0.8637787618905113,0.8884678252769104,0.2106190163259336,0.596027177471324,0.6132073431142814,0.2345707411516576,1.2215885361513958,1.1752455902684755,0.2977009224985238,2.7467416033404297,2.7191053748097325,0.17152075147176,-1.3496408555273118,-1.3345862734506089,0.1821635768957098,2.539768858573348,2.522311919744846,0.1734698913467205,-0.4497614045452087,-0.4941558380371432,0.2688601304492986,4.176010275959398,4.200678454245657,0.3065578892327715,0.12366701086778,0.150939070845489,0.1611320629271343,-0.3634919880373056,0.0,0,-0.3930601844674934,0.1788018026508018,"thematic_analysis.entropy_score (mean=4.2007, std=0.3066), stylistic_analysis.linguistic_metrics.max_subordination_depth (mean=2.7191, std=0.1715), stylistic_analysis.rhetorical_devices.variety (mean=2.5223, std=0.1735), sentiment_analysis.sentiment_volatility (mean=-2.0929, std=0.2055), coherence_analysis.local_coherence_embeddings (mean=1.8526, std=0.2534), originality_analysis.semantic_distance (mean=1.7089, std=0.2004), sentiment_analysis.variance_sentiment (mean=1.7059, std=0.2629), sentiment_analysis.emotional_richness (mean=1.5835, std=0.2087), readability_metrics.smog_index (mean=-1.3283, std=0.1800), stylistic_analysis.rhetorical_devices.total_count (mean=-1.3346, std=0.1822)",84.61538461538461,6.652103431390744,lay reader,0
A1IZ4NX41GKU4X,lr_sklearn,hanna,398192,73308,0.6447090850644915,0.6447090850644915,0.6447090850644915,0.6447090850644915,0.641812626179953,0.641812626179953,0.641812626179953,0.641812626179953,{},-0.0475338728993541,-0.0469119817758322,0.0067220211963323,-0.0319313175785035,-0.0321344861922799,0.00496156421953,0.0104906057229471,0.0114484212022741,0.0052920673684616,-0.131731884045861,-0.1314557630588982,0.006232819491226,0.3964600983416913,0.3970539548285314,0.0077469672337243,-0.2339215111952861,-0.2331426638962242,0.0035494987034463,0.0367565124865232,0.0366721990629268,0.0044854323039753,-0.6436887417655375,-0.6401519353371066,0.0732634722230999,-0.0389021149979717,-0.0386580822501328,0.0027839767539727,0.0507112597729663,0.0509375832831981,0.0062285284059941,0.0389021149979696,0.0386580822501295,0.002783976753973,-0.3293748851390142,-0.3275888305164358,0.0368956620696094,0.3293748851390047,0.3275888305164309,0.0368956620696094,0.0185537219626973,0.018180583029867,0.0055189946971407,-0.1523543277249844,-0.1509103775067188,0.0056174583147219,0.2005920378611956,0.2013435303992438,0.0054559294756579,0.1201328740978958,0.1197591278324843,0.0041066549640897,0.3494810432963948,0.3490863510106294,0.0074448718293273,0.3200169805137693,0.3169298485960812,0.015051989955508,0.0104987759200416,0.0107353405790241,0.0042172838894895,0.0985747772765257,0.0994428063132147,0.0055466246753341,0.0351760644792292,0.0339310342117736,0.0062365211047936,-0.2533733613375009,-0.2541450781483426,0.0061995500892595,0.0067044751531115,0.0073844015307074,0.0069867642473342,-0.0341213677412335,-0.0338542396638381,0.0035848321696395,-0.0570398301813384,0.257490422551318,0,-0.0569165358308583,0.007089162502762,"sentiment_analysis.average_sentiment (mean=-0.6402, std=0.0733), originality_analysis.log_likelihood (mean=0.3971, std=0.0077), stylistic_analysis.linguistic_metrics.dependency_variety (mean=0.3491, std=0.0074), sentiment_analysis.sentiment_distribution_negative (mean=-0.3276, std=0.0369), sentiment_analysis.sentiment_distribution_positive (mean=0.3276, std=0.0369), stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD (mean=0.3169, std=0.0151), stylistic_analysis.sentence_rhythm.std_dev_sentence_length (mean=-0.2541, std=0.0062), originality_analysis.semantic_distance (mean=-0.2331, std=0.0035), stylistic_analysis.linguistic_metrics.average_sentence_length (mean=0.2013, std=0.0055), sentiment_analysis.variance_sentiment (mean=-0.1509, std=0.0056)",96.15384615384616,18.225955096152965,lay reader,0
A1V6CP5I0TOSAR,lr_sklearn,hanna,4358,826,0.7530977512620468,0.7530977512620468,0.7530977512620468,0.7530977512620468,0.6077481840193705,0.6077481840193705,0.6077481840193705,0.6077481840193705,{},0.2865133078523482,0.2804464228381223,0.1094642498626573,-0.089865918234381,-0.0942836075975213,0.0648495127834148,-0.7899190751023829,-0.7900138201734431,0.0636719335021382,0.2794732835846266,0.2761975341073297,0.1125136039728283,0.5435548619496492,0.5454295668068397,0.1063894025342507,-0.2241651170310116,-0.224571345444307,0.0494685142364756,0.6653599010929657,0.672745574821151,0.0641848701476604,-3.452332493081644,-3.474584740633702,0.3374566224350215,0.0018193262798289,0.0029645693672691,0.0311996300595823,0.4437585112254349,0.4524670226140643,0.105162302512023,-0.0018193262798311,-0.0029645693672771,0.0311996300595822,-1.583670949162503,-1.593468377384573,0.174888056317395,1.583670949162522,1.593468377384592,0.1748880563173955,-0.6924560401143461,-0.7035028189833114,0.072943397506995,1.0682561518742208,1.0743884694024473,0.0836104817139054,-0.1565255991574826,-0.1624143348990908,0.059479408198268,0.5216997904901137,0.5344256381552204,0.055027430753129,0.0594861165489329,0.0615455381815612,0.0969151622685491,0.2201988664587437,0.232595160837533,0.0806905125883733,-0.6359433684177144,-0.6482438219235873,0.0538463882147611,-0.0561860246532705,-0.0618362465927452,0.1535918563010569,0.5168751132301019,0.521882766170873,0.1393365420317985,-1.23714703366676,-1.2477912632140975,0.067882121196089,-1.3787191514744268,-1.3982476341341716,0.1034564152963102,0.1592248343114939,0.1621748916365317,0.043023027847704,-1.0463975477690344,0.1650943396226415,0,-1.0632666463965093,0.107499012851953,"sentiment_analysis.average_sentiment (mean=-3.4746, std=0.3375), sentiment_analysis.sentiment_distribution_positive (mean=1.5935, std=0.1749), sentiment_analysis.sentiment_distribution_negative (mean=-1.5935, std=0.1749), thematic_analysis.entropy_score (mean=-1.3982, std=0.1035), stylistic_analysis.sentence_rhythm.std_dev_sentence_length (mean=-1.2478, std=0.0679), sentiment_analysis.variance_sentiment (mean=1.0744, std=0.0836), thematic_analysis.inter_theme_similarity (mean=-1.0633, std=0.1075), coherence_analysis.local_coherence_embeddings (mean=-0.7900, std=0.0637), sentiment_analysis.sentiment_volatility (mean=-0.7035, std=0.0729), readability_metrics.smog_index (mean=0.6727, std=0.0642)",80.76923076923077,6.624488182889778,lay reader,0
A264NN7JBX4UDQ,lr_sklearn,hanna,17550,3276,0.6722507122507122,0.6722507122507122,0.6722507122507122,0.6722507122507122,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,{},0.3445019660763269,0.3412451521146319,0.0310274878569529,0.235766730553591,0.2364406117843644,0.0301613607771961,0.3952137877353195,0.3955035069861241,0.0310541078360261,0.1271554370972728,0.1229719292688702,0.0308353938130773,0.738815612379138,0.7439229382321283,0.0321781659783713,-0.1608040818647632,-0.1620805102278435,0.0177775620776313,0.0662718263069891,0.0655478323252509,0.0255984738344694,7.863909602769641,7.818590671692168,0.3253379710164141,-0.2110847121244468,-0.2127540083688801,0.0101137564431626,-0.7711909568496729,-0.7752459364058669,0.0284683961575341,0.2110847121244314,0.21275400836886,0.0101137564431633,4.0907848413475625,4.066269584455427,0.1638773330209423,-4.090784841347591,-4.066269584455448,0.1638773330209416,0.7524349265940942,0.7518963414942001,0.0303760427536382,-0.534862172961452,-0.5374146542503553,0.0295797282856529,-0.480214914218071,-0.4829808322300373,0.0343487548279334,0.3615742114990486,0.3594212783681042,0.022214934210426,0.0361186614035385,0.0338850612463717,0.0351315818167808,-0.0531287658453028,-0.0513436569845143,0.0224520771254072,0.1852807057278863,0.1846989910533172,0.0204981084875743,0.2656382896203071,0.2606701057163549,0.0417127847102481,-0.2691146971064513,-0.2656395601615262,0.0373955072663938,0.0785971984950658,0.0828324564782537,0.034074957253255,-0.5760608804614585,-0.5744242418241143,0.0650944843229439,0.1320314032889096,0.1344224906043348,0.0234918442763615,-0.7438436455514035,0.3977936404931862,0,-0.7467889908997886,0.0673048008049202,"sentiment_analysis.average_sentiment (mean=7.8186, std=0.3253), sentiment_analysis.sentiment_distribution_positive (mean=-4.0663, std=0.1639), sentiment_analysis.sentiment_distribution_negative (mean=4.0663, std=0.1639), sentiment_analysis.emotional_richness (mean=-0.7752, std=0.0285), sentiment_analysis.sentiment_volatility (mean=0.7519, std=0.0304), thematic_analysis.inter_theme_similarity (mean=-0.7468, std=0.0673), originality_analysis.log_likelihood (mean=0.7439, std=0.0322), thematic_analysis.entropy_score (mean=-0.5744, std=0.0651), sentiment_analysis.variance_sentiment (mean=-0.5374, std=0.0296), stylistic_analysis.linguistic_metrics.average_sentence_length (mean=-0.4830, std=0.0343)",96.15384615384616,13.083430301280217,lay reader,0
A2VE5IV9OD2SK1,lr_sklearn,hanna,349532,64998,0.7015151688543538,0.7015151688543538,0.7015151688543538,0.7015151688543538,0.6794055201698513,0.6794055201698513,0.6794055201698513,0.6794055201698513,{},0.0830669858930641,0.0823043814799273,0.0074597943092847,-0.2977078372987214,-0.296075589415421,0.0061503226503311,0.0151099987198995,0.0139400917325406,0.0050856992887178,-0.118478896372861,-0.1193858858990434,0.0079952437626166,1.0686996660921295,1.0663213836057308,0.0102976401235104,0.0016543317497209,0.0011975002487111,0.0045208198919629,0.1166700062436816,0.1174756495897543,0.0050474070651265,1.035080934946944,1.0452734473270622,0.083698416532069,0.0111685121740591,0.0115070482502952,0.0029118959212095,-0.0240888980897619,-0.0237206958771312,0.0078900479419049,-0.011168512174062,-0.0115070482503009,0.0029118959212094,0.5548489518951012,0.5596921904257876,0.0421087512510387,-0.5548489518950992,-0.559692190425783,0.0421087512510386,-0.1639460653682787,-0.1646021083941395,0.005537334937761,-0.0753691020993776,-0.0749092727819623,0.0068942909981173,0.6360711391824457,0.6367046605814192,0.007964364781047,0.2163240857596213,0.2167665666888825,0.0050637936757999,0.1418341168833668,0.1435335893027564,0.0075950717080102,0.1062900144877736,0.1063971284438001,0.0090719759220518,-0.0563111429880934,-0.0570886134933271,0.0049179256665414,0.0711994964279963,0.0708043153999764,0.0065374310375603,0.1771037759088004,0.1777532570509661,0.0070843395100154,-0.9453246088058606,-0.9465482187621754,0.0109802504938075,0.308885884451778,0.3081272376223327,0.0104933512671885,0.0309040052606729,0.0305813820105497,0.0049227461651227,0.3635850641321673,0.0083842083842083,0,0.3639822231608004,0.009465583867588,"originality_analysis.log_likelihood (mean=1.0663, std=0.0103), sentiment_analysis.average_sentiment (mean=1.0453, std=0.0837), stylistic_analysis.sentence_rhythm.std_dev_sentence_length (mean=-0.9465, std=0.0110), stylistic_analysis.linguistic_metrics.average_sentence_length (mean=0.6367, std=0.0080), sentiment_analysis.sentiment_distribution_negative (mean=0.5597, std=0.0421), sentiment_analysis.sentiment_distribution_positive (mean=-0.5597, std=0.0421), thematic_analysis.inter_theme_similarity (mean=0.3640, std=0.0095), thematic_analysis.entropy_score (mean=0.3081, std=0.0105), coherence_analysis.entity_coherence (mean=-0.2961, std=0.0062), stylistic_analysis.linguistic_metrics.average_tree_depth (mean=0.2168, std=0.0051)",96.15384615384616,25.217311718257005,lay reader,0
A2WNW8A4MOR7T7,lr_sklearn,hanna,29664,5592,0.7164913700107874,0.7164913700107874,0.7164913700107874,0.7164913700107874,0.703862660944206,0.703862660944206,0.703862660944206,0.703862660944206,{},-0.3370772404773988,-0.3367639350756991,0.0256576479343415,-0.2968115234094115,-0.2977130097242286,0.0217627143238037,0.3277634149805864,0.3248806158033985,0.0188669343895843,-0.3464810386214749,-0.3451107093668248,0.0252421692535219,0.8535004925573548,0.855394995931952,0.0363614330705061,0.0084256424031931,0.0088118351327372,0.0150665335797479,0.0741653147691373,0.0751118926016745,0.020431405230672,2.6794291072947862,2.6966609068202807,0.2581019360193444,0.1815534585905695,0.1813528755393322,0.0098334060270911,0.4308874724123615,0.4272595545094711,0.0297077368594914,-0.1815534585905558,-0.1813528755393266,0.0098334060270909,1.4322188813551715,1.4403300284816902,0.1287206093837969,-1.4322188813551908,-1.4403300284817084,0.128720609383797,0.0205836068565154,0.0206575436565557,0.0242005470216313,-0.1564418490864179,-0.1550928608309867,0.0234434804204299,0.220132546461633,0.22037513679446,0.0260554831907094,1.1397622517093111,1.1293878899633,0.0291957859293926,-0.4629269163541306,-0.4668459419221369,0.0302932273467618,0.11299953836427,0.1131530589155529,0.0186866118410911,0.3939457073569656,0.3961014644510012,0.0190063126495337,0.191384678038615,0.1908454567949568,0.0232323598171498,-0.0792692281274867,-0.0803289707132734,0.0244322853041179,-1.4839496555876848,-1.4748431903720138,0.0308254080910627,-0.3001217224604511,-0.2998038518919567,0.0432320464469565,0.1901297786519246,0.1891569645306339,0.0151337478295944,-0.6072174737646956,0.0998504735005814,0,-0.6080401776268968,0.049392095709126,"sentiment_analysis.average_sentiment (mean=2.6967, std=0.2581), stylistic_analysis.sentence_rhythm.std_dev_sentence_length (mean=-1.4748, std=0.0308), sentiment_analysis.sentiment_distribution_positive (mean=-1.4403, std=0.1287), sentiment_analysis.sentiment_distribution_negative (mean=1.4403, std=0.1287), stylistic_analysis.linguistic_metrics.average_tree_depth (mean=1.1294, std=0.0292), originality_analysis.log_likelihood (mean=0.8554, std=0.0364), thematic_analysis.inter_theme_similarity (mean=-0.6080, std=0.0494), stylistic_analysis.linguistic_metrics.dependency_variety (mean=-0.4668, std=0.0303), sentiment_analysis.emotional_richness (mean=0.4273, std=0.0297), stylistic_analysis.linguistic_metrics.max_subordination_depth (mean=0.3961, std=0.0190)",92.3076923076923,13.7533069981566,lay reader,0
A3CFNUD7VR2E1E,lr_sklearn,hanna,200290,36478,0.7055669279544661,0.7055669279544661,0.7055669279544661,0.7055669279544661,0.6329842644881847,0.6329842644881847,0.6329842644881847,0.6329842644881847,{},-0.3282799617755317,-0.3292293266297401,0.0109391424725306,-0.3714381938240086,-0.3706174119315157,0.0100078136640014,-0.28376121761775,-0.2844791495737783,0.0068843619277921,-0.2512791386184765,-0.253016336003966,0.0114145734456161,0.5023201381183762,0.5010544755163302,0.0094550310609349,-0.0628585401853922,-0.0633921592657683,0.0061758887852215,0.2418456714286622,0.2412055829573071,0.0071258919464076,1.0183804009309607,1.0084700102740962,0.0927410266326064,0.0413616823862021,0.0411647121833861,0.0029202354791283,0.1529182811730516,0.152173159763357,0.0082286166519664,-0.0413616823862,-0.0411647121833904,0.0029202354791284,0.5732909374847577,0.5681639999421798,0.0462412718922827,-0.5732909374847547,-0.5681639999421774,0.0462412718922828,-0.0381069506980774,-0.0367878728336268,0.0087468600732185,0.1317945409169211,0.1307677257596128,0.008810463035508,0.2787963346980065,0.2785994884639335,0.0100051299838316,0.3302535200281347,0.3310593085857951,0.0108703112653164,-0.2355089083322496,-0.2332065227813349,0.0103645390594115,0.2032259956374234,0.2038737362588013,0.0074358875601137,-0.0793610259078119,-0.0790535125816581,0.0061916186863772,-0.0945140630845418,-0.0961281638972774,0.0124470435472506,0.4286005678402371,0.4313543085822649,0.013794243903654,-0.370082957292128,-0.370475724637553,0.0095829846586597,-0.0208855452867867,-0.0237221482220579,0.0114279327507673,0.0792643561997587,0.078501062594401,0.0053616096989821,-0.0506082360543095,0.0811045564764214,0,-0.0510894386439527,0.0107086425797886,"sentiment_analysis.average_sentiment (mean=1.0085, std=0.0927), sentiment_analysis.sentiment_distribution_negative (mean=0.5682, std=0.0462), sentiment_analysis.sentiment_distribution_positive (mean=-0.5682, std=0.0462), originality_analysis.log_likelihood (mean=0.5011, std=0.0095), stylistic_analysis.rhetorical_devices.variety (mean=0.4314, std=0.0138), coherence_analysis.entity_coherence (mean=-0.3706, std=0.0100), stylistic_analysis.sentence_rhythm.std_dev_sentence_length (mean=-0.3705, std=0.0096), stylistic_analysis.linguistic_metrics.average_tree_depth (mean=0.3311, std=0.0109), coherence_analysis.best_num_topics (mean=-0.3292, std=0.0109), coherence_analysis.local_coherence_embeddings (mean=-0.2845, std=0.0069)",100.0,21.116731760126505,lay reader,0
AE861G0AY5RGT,lr_sklearn,hanna,296,70,0.9797297297297296,0.9797297297297296,0.9797297297297296,0.9797297297297296,0.4571428571428571,0.4571428571428571,0.4571428571428571,0.4571428571428571,{},1.3799458197291237,1.3912531026208046,0.1462234229084839,0.4203791432226706,0.3958076750510069,0.1436494609488351,-0.6437453820595335,-0.6834444953461123,0.1792723690825363,0.0145926490095917,0.0196617799176875,0.1702142292308501,0.443421072453956,0.4174762505405403,0.1343617336004686,1.351393140421678,1.3490174208827204,0.1801119646472661,-1.074977904796269,-1.0751686832400578,0.1282495932777813,0.7607340239035301,0.7629744138033607,0.0539433781439805,1.7610987680719292,1.72102430423121,0.1136832224201311,0.1921366103719435,0.1487494210852871,0.2007613301209829,-1.7610987680719292,-1.72102430423121,0.1136832224201311,-0.4926677588824474,-0.4958156365206083,0.0529166932635988,0.4926677588824468,0.4958156365206073,0.0529166932635988,0.6417119405012275,0.6757745749012501,0.1739330219979757,-0.6240986732069148,-0.7003788798629962,0.2073046090163704,1.663636753348211,1.5997275328417144,0.1652433758327662,-2.590724464069732,-2.497270473771638,0.2213128722467515,1.106781541753614,1.0952675710324495,0.1442027679080084,-0.3299276677221583,-0.3021742492028022,0.1941909387465393,0.4947346164932859,0.492922138732654,0.13139879333542,1.2131863572460848,1.215765349898988,0.1255926474817488,2.254731210253305,2.20965213874734,0.1531406708355509,0.672395140377401,0.6719002549502349,0.1775421112765917,-0.058046509933556,-0.0614857380523314,0.10340389678073,-0.2597836870297594,-0.270873885940918,0.1339041032523086,-0.5944304247044622,0.0140845070422535,0,-0.5758706937591116,0.1150883515542083,"stylistic_analysis.linguistic_metrics.average_tree_depth (mean=-2.4973, std=0.2213), stylistic_analysis.rhetorical_devices.variety (mean=2.2097, std=0.1531), sentiment_analysis.emotional_persistence (mean=1.7210, std=0.1137), sentiment_analysis.emotional_volatility (mean=-1.7210, std=0.1137), stylistic_analysis.linguistic_metrics.average_sentence_length (mean=1.5997, std=0.1652), coherence_analysis.best_num_topics (mean=1.3913, std=0.1462), originality_analysis.semantic_distance (mean=1.3490, std=0.1801), stylistic_analysis.rhetorical_devices.total_count (mean=1.2158, std=0.1256), stylistic_analysis.linguistic_metrics.dependency_variety (mean=1.0953, std=0.1442), readability_metrics.smog_index (mean=-1.0752, std=0.1282)",84.61538461538461,6.758706496459206,lay reader,0
AHV4U78TUUDKI,lr_sklearn,hanna,28,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,{},-0.2617643879553371,-0.2472214067193262,0.0591387019788987,0.3325222923100528,0.3108344218270483,0.1129179544736525,-0.1474003819546759,-0.1359217670117285,0.0403832496101808,0.5045740783375542,0.4746187616427826,0.0893788783029131,0.508655516162496,0.4856022546311311,0.049692373231143,0.2203431952498837,0.2150107924281893,0.0836599804569791,0.1773195580541791,0.1726523807433821,0.0524158028161695,0.2464187772491629,0.2419160558810879,0.0571863025247805,0.1117436969169911,0.1062922976944681,0.0673098069382913,0.4872011371984415,0.4610496407901297,0.0759308194921127,-0.111743696916991,-0.106292297694468,0.0673098069382913,-0.2423281778822649,-0.2381904633585593,0.0591113393843011,0.2423281778822648,0.2381904633585592,0.0591113393843011,0.4680232896937485,0.4317554508640483,0.0852625930138716,0.8098800989811573,0.751854161301293,0.1376496503445174,0.6415666452822176,0.6068062863721597,0.0887877876243674,0.2679797025643401,0.2610838833588232,0.0818659919335132,0.367371951819017,0.3491599269148329,0.0526527395574506,0.3305432329965949,0.3152779302199946,0.0577666440693752,0.9139112994740096,0.858673338423531,0.1104966011042626,0.1067204077424973,0.1129249006627038,0.1051501769601783,0.1951368290511386,0.1913263653849729,0.0857590546803847,0.0063404268487397,0.0121422145557078,0.0580962078798986,0.2314907721334339,0.2128167171821175,0.059996713757497,0.3591577140010093,0.3452884721987589,0.0550734816269365,-0.4925040838419922,0.2222222222222222,0,-0.4684461072884158,0.0990212006348899,"stylistic_analysis.linguistic_metrics.max_subordination_depth (mean=0.8587, std=0.1105), sentiment_analysis.variance_sentiment (mean=0.7519, std=0.1376), stylistic_analysis.linguistic_metrics.average_sentence_length (mean=0.6068, std=0.0888), originality_analysis.log_likelihood (mean=0.4856, std=0.0497), coherence_analysis.overall_coherence (mean=0.4746, std=0.0894), thematic_analysis.inter_theme_similarity (mean=-0.4684, std=0.0990), sentiment_analysis.emotional_richness (mean=0.4610, std=0.0759), sentiment_analysis.sentiment_volatility (mean=0.4318, std=0.0853), stylistic_analysis.linguistic_metrics.dependency_variety (mean=0.3492, std=0.0527), thematic_analysis.graph_density (mean=0.3453, std=0.0551)",84.61538461538461,4.278303347331399,lay reader,0
AYJGQBBK6KXZ7,lr_sklearn,hanna,40,12,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,{},-0.2468046429314229,-0.232393373153365,0.080853022245269,-0.3545129240313739,-0.3345187011899051,0.1552319688731948,0.2075850697753777,0.2014826346938629,0.1610059667476782,0.5677216764056471,0.5384664535957168,0.0769612563170507,0.6610534510218182,0.6309329836381355,0.0842833084964085,0.0582044027224988,0.0937265560054653,0.1246956395367422,0.5740240501612762,0.5454363490942418,0.0833396413446363,0.4273146964318575,0.4266968886232303,0.0598000347831577,0.17220084340101,0.1509553118926162,0.1010623717719274,0.6173050604094543,0.5870312961858378,0.0601358701442117,-0.17220084340101,-0.1509553118926162,0.1010623717719274,-0.338001746896261,-0.343418950710481,0.0645835589605452,0.3380017468962609,0.3434189507104809,0.0645835589605452,-0.0547970183707902,-0.0396907389817044,0.0846145299583219,0.4669528755470751,0.448293261828261,0.0271765885665668,-0.3526361120389754,-0.3344026994843183,0.0418404618060111,0.0003328766077867,-0.0039186511647914,0.038364467436355,0.4064941991291195,0.388386583786571,0.119506282310885,0.9029534279980184,0.8337917455436059,0.149033078991466,-0.8978685636756557,-0.847705282771883,0.1536932999858777,-0.1451185506074359,-0.139705076527479,0.0836592561298231,-0.0829922107173734,-0.0819985434549302,0.0844033906904542,-0.512831389291564,-0.4781229645570908,0.0529568509529511,0.2465138646467421,0.2426147222277293,0.0496711295519704,0.0345050648859505,0.0380512459449822,0.0179670016378233,-0.4158163705284765,,0,-0.3989064706540972,0.0527907252427785,"stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD (mean=0.8338, std=0.1490), stylistic_analysis.linguistic_metrics.max_subordination_depth (mean=-0.8477, std=0.1537), originality_analysis.log_likelihood (mean=0.6309, std=0.0843), sentiment_analysis.emotional_richness (mean=0.5870, std=0.0601), readability_metrics.smog_index (mean=0.5454, std=0.0833), coherence_analysis.overall_coherence (mean=0.5385, std=0.0770), stylistic_analysis.sentence_rhythm.std_dev_sentence_length (mean=-0.4781, std=0.0530), sentiment_analysis.variance_sentiment (mean=0.4483, std=0.0272), sentiment_analysis.average_sentiment (mean=0.4267, std=0.0598), thematic_analysis.inter_theme_similarity (mean=-0.3989, std=0.0528)",69.23076923076923,4.777951621929659,lay reader,0
