sentiment_analysis.sentiment_volatility,sentiment_analysis.average_sentiment,readability_metrics.smog_index,stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,sentiment_analysis.sentiment_trend,story_idx,stylistic_analysis.linguistic_metrics.average_tree_depth,stylistic_analysis.linguistic_metrics.average_sentence_length,coherence_analysis.best_num_topics,stylistic_analysis.rhetorical_devices.total_count,stylistic_analysis.sentence_rhythm.std_dev_sentence_length,sentiment_analysis.variance_sentiment,sentiment_analysis.sentiment_distribution_positive,sentiment_analysis.sentiment_distribution_negative,sentiment_analysis.emotional_volatility,sentiment_analysis.emotional_persistence,thematic_analysis.entropy_score,thematic_analysis.inter_theme_similarity,thematic_analysis.graph_density,stylistic_analysis.rhetorical_devices.counts.hyperbole,stylistic_analysis.rhetorical_devices.counts.allusions,stylistic_analysis.rhetorical_devices.counts.symbolism
0.9390364175904318,-0.006620112370001152,8.1,-329.52475247524734,0.6577882518370943,1,2.0172413793103448,29.0,5,0,14.142135623730951,0.9796894826576721,0.5,0.5,0.0,1.0,0.9182958340544894,0.4355259835720062,0.0,,,
1.135881397012125,0.7029735959035212,10.8,127.23013048635826,0.1959882893172713,2,2.7477477477477477,37.0,7,2,12.12435565298214,0.4740479812384814,0.8571428571428571,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.9463946303571862,0.2719959318637848,0.0,0.0,1.0,0.0
1.4037724190429075,0.5729023380205035,9.7,-1172.7457627118638,-0.020793146997069276,3,2.5064935064935066,25.666666666666668,3,0,7.023769168568492,0.6145444172307857,0.8,0.2,0.0,1.0,1.0,0.18077237904071808,0.0,,,
1.057061435746382,0.5970044547691942,10.4,219.03918187357124,0.08685917833448138,4,2.29811320754717,24.09090909090909,2,10,12.259319275184454,0.6258484888778413,0.8,0.2,0.42857142857142855,0.5714285714285714,0.8194483718728036,0.46263614296913147,0.6666666666666666,1.0,0.0,1.0
1.6175747069151607,0.006196044792886823,9.7,-336.1034482758622,0.0005140921566635973,5,2.1492537313432836,22.333333333333332,7,3,7.371114795831994,0.9812046491775965,0.5,0.5,0.3333333333333333,0.6666666666666666,0.9182958340544894,0.42361119389533997,0.0,0.0,0.0,0.0
1.9870279455499258,-0.33154553413623944,0.0,-266.82352941176464,-0.00505764791159897,6,2.34,25.0,2,2,14.142135623730951,0.8774126212896781,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.3379936218261719,0.0,0.0,1.0,0.0
0.006106278898114218,0.9934898901410634,9.4,-11896.941176470715,4.208111093336946e-05,7,2.1825396825396823,18.0,5,1,5.163977794943222,2.1045514117627125e-05,1.0,0.0,0.0,1.0,0.8112781244591328,0.46399739384651184,1.0,0.0,0.0,0.0
1.247936383524917,0.33679894224042073,0.0,107.49815986655724,-0.4599197345552968,8,2.510869565217391,46.0,2,1,41.012193308819754,0.8634440422301707,0.6666666666666666,0.3333333333333333,0.0,1.0,0.9182958340544894,0.4139096736907959,0.0,0.0,0.0,0.0
1.7660014642029909,0.0009195027329648534,11.2,130.9090909090909,0.19990876111357167,9,2.097826086956522,30.666666666666668,6,1,10.96965511460289,0.9710834143732038,0.5,0.5,0.4,0.6,0.9182958340544894,0.4333834648132324,0.0,0.0,0.0,0.0
1.6439080800279948,-0.20118256022688003,8.3,119.45454545454544,-0.000866541968813804,10,1.975,16.0,6,2,2.8284271247461903,0.9407565852160749,0.4,0.6,0.5,0.5,0.9182958340544894,0.4125056266784668,0.0,0.0,0.0,0.0
